Starting Median Salary,Mid-Career Median Salary,School_Name,Private,Apps,Accept,Acp_Rate(%),Location,Rank,Tuition and fees
"$72,200.00","$126,000.00",massachusetts institute of technology ,,,,0.8986,,,
"$75,500.00","$123,000.00",california institute of technology ,,,,0.9211,,,
"$71,800.00","$122,000.00",harvey mudd college,Yes,1377.0,572.0,0.42,,,
"$62,400.00","$114,000.00",polytechnic university of new york brooklyn,,,,0.8087,,,
"$62,200.00","$114,000.00",cooper union,,,,0.9774,,,
"$61,000.00","$114,000.00",worcester polytechnic institute ,,,,0.5906,,,
"$61,800.00","$111,000.00",carnegie mellon university ,,,,,,,
"$61,100.00","$110,000.00",rensselaer polytechnic institute ,,,,,,,
"$58,300.00","$106,000.00",georgia institute of technology,No,7837.0,4527.0,0.58,"Atlanta, GA",34.0,"$32,404 "
"$58,100.00","$106,000.00",colorado school of mines,,,,0.7543,"Golden, CO",82.0,"$34,828 "
"$60,600.00","$105,000.00",stevens institute of technology,Yes,1768.0,1249.0,0.71,"Hoboken, NJ",71.0,"$48,838 "
"$56,000.00","$97,800.00",illinois institute of technology ,,,,,,,
"$53,000.00","$96,700.00",wentworth institute of technology,Yes,1480.0,1257.0,0.85,,,
"$53,500.00","$95,400.00",virginia polytechnic institute and state university ,,,,,,,
"$55,800.00","$93,400.00",south dakota school of mines & technology,,,,,,,
"$51,000.00","$93,400.00",new mexico institute of mining and technology ,,,,0.5227,,,
"$48,900.00","$84,600.00",rochester institute of technology ,,,,,,,
"$52,700.00","$80,700.00",embryriddle aeronautical university ,,,,,,,
"$46,200.00","$80,000.00",tennessee technological university,,,,,"Cookeville, TN",220.0,"$24,800 "
"$52,900.00","$96,100.00",university of illinois at urbanachampaign ,,,,,,,
"$52,900.00","$96,100.00",university of illinois at urbanachampaign ,,,,,,,
"$52,000.00","$95,000.00",university of maryland college park,,,,0.9733,,,
"$52,000.00","$95,000.00",university of maryland college park,,,,0.5841,,,
"$50,500.00","$95,000.00",university of california santa barbara ,,,,,,,
"$50,500.00","$95,000.00",university of california santa barbara ,,,,,,,
"$49,700.00","$93,900.00",university of texas   austin,,,,,,,
"$49,700.00","$93,900.00",university of texas   austin,,,,0.543,,,
"$44,500.00","$92,200.00",state university of new york  at albany,,,,,,,
"$44,500.00","$92,200.00",state university of new york  at albany,,,,,,,
"$47,100.00","$87,900.00",university of florida ,,,,0.482,,,
"$47,100.00","$87,900.00",university of florida ,,,,,,,
"$46,900.00","$87,800.00",louisiana state university ,,,,0.3966,,,
"$46,900.00","$87,800.00",louisiana state university ,,,,,,,
"$44,100.00","$86,000.00",university of georgia ,,,,0.5646,,,
"$44,100.00","$86,000.00",university of georgia ,,,,,,,
"$49,900.00","$85,700.00",pennsylvania state university ,,,,0.4704,,,
"$49,900.00","$85,700.00",pennsylvania state university ,,,,0.4848,,,
"$47,400.00","$84,100.00",arizona state university ,,,,,,,
"$47,400.00","$84,100.00",arizona state university ,,,,0.6434,,,
"$46,300.00","$84,000.00",indiana university  bloomington,,,,,,,
"$46,300.00","$84,000.00",indiana university  bloomington,,,,0.6589,,,
"$44,700.00","$83,900.00",university of iowa ,,,,,,,
"$44,700.00","$83,900.00",university of iowa ,,,,,,,
"$42,600.00","$83,600.00",randolphmacon college,Yes,1771.0,1325.0,0.75,,,
"$42,600.00","$83,600.00",randolphmacon college,Yes,1771.0,1325.0,0.75,,,
"$41,300.00","$81,400.00",university of alabama tuscaloosa,,,,,,,
"$41,300.00","$81,400.00",university of alabama tuscaloosa,,,,,,,
"$41,400.00","$79,700.00",university of mississippi,No,3844.0,3383.0,0.88,"University, MS",135.0,"$22,012 "
"$41,400.00","$79,700.00",university of mississippi,No,3844.0,3383.0,0.88,"University, MS",135.0,"$22,012 "
"$41,800.00","$78,300.00",university of new hampshire ,,,,0.3859,,,
"$41,800.00","$78,300.00",university of new hampshire ,,,,,,,
"$43,100.00","$78,100.00",west virginia university ,,,,,,,
"$43,100.00","$78,100.00",west virginia university ,,,,0.8767,,,
"$43,800.00","$74,600.00",university of tennessee,,,,0.5182,"Knoxville, TN",103.0,"$30,858 "
"$43,800.00","$74,600.00",university of tennessee,,,,,"Knoxville, TN",103.0,"$30,858 "
"$42,200.00","$73,400.00",ohio university,No,11023.0,8298.0,0.75,"Athens, OH",146.0,"$21,208 "
"$42,200.00","$73,400.00",ohio university,No,11023.0,8298.0,0.75,"Athens, OH",146.0,"$21,208 "
"$42,100.00","$73,000.00",florida state university ,,,,,,,
"$42,100.00","$73,000.00",florida state university ,,,,0.7611,,,
"$54,100.00","$110,000.00",bucknell university,Yes,6548.0,3813.0,0.58,,,
"$52,800.00","$108,000.00",colgate university,Yes,4856.0,2492.0,0.51,,,
"$54,500.00","$107,000.00",amherst college,Yes,4302.0,992.0,0.23,,,
"$53,900.00","$107,000.00",lafayette college,Yes,4010.0,2402.0,0.6,,,
"$48,100.00","$107,000.00",bowdoin college,Yes,3356.0,1019.0,0.3,,,
"$50,200.00","$106,000.00",college of the holy cross,Yes,2994.0,1691.0,0.56,,,
"$51,900.00","$105,000.00",occidental college,Yes,2324.0,1319.0,0.57,,,
"$53,600.00","$104,000.00",washington and lee university,Yes,3315.0,1096.0,0.33,,,
"$49,700.00","$104,000.00",swarthmore college,,,,0.8903,,,
"$46,100.00","$104,000.00",davidson college,Yes,2373.0,956.0,0.4,,,
"$47,500.00","$103,000.00",carleton college,Yes,2694.0,1579.0,0.59,,,
"$51,700.00","$102,000.00",williams college,Yes,4186.0,1245.0,0.3,,,
"$48,600.00","$101,000.00",pomona college,,,,,,,
"$46,500.00","$97,900.00",wesleyan university ,,,,0.8131,,,
"$47,300.00","$96,500.00",bates college,,,,,,,
"$47,200.00","$95,800.00",union college,,,,0.8442,,,
"$48,600.00","$94,600.00",university of richmond,Yes,5892.0,2718.0,0.46,,,
"$46,000.00","$94,600.00",vassar college,Yes,3550.0,1877.0,0.53,,,
"$47,700.00","$94,200.00",middlebury college,,,,,,,
"$42,400.00","$94,100.00",mount holyoke college,Yes,1800.0,1314.0,0.73,,,
"$49,100.00","$92,800.00",franklin and marshall college,,,,,,,
"$41,400.00","$88,300.00",depauw university,Yes,1994.0,1656.0,0.83,,,
"$45,300.00","$86,200.00",st olaf college,,,,,,,
"$46,400.00","$85,800.00",colby college,Yes,2848.0,1319.0,0.46,,,
"$44,700.00","$85,800.00",gettysburg college,Yes,3596.0,2466.0,0.69,,,
"$45,500.00","$85,200.00",siena college,Yes,2961.0,1932.0,0.65,,,
"$44,000.00","$83,900.00",smith college,Yes,2925.0,1598.0,0.55,,,
"$49,200.00","$83,700.00",hamilton college,Yes,3140.0,1783.0,0.57,,,
"$42,800.00","$83,500.00",wellesley college,Yes,2895.0,1249.0,0.43,,,
"$42,000.00","$83,500.00",denison university,Yes,2762.0,2279.0,0.83,,,
"$43,400.00","$81,600.00",oberlin college,Yes,4778.0,2767.0,0.58,,,
"$46,600.00","$81,500.00",university of puget sound,Yes,4044.0,2826.0,0.7,,,
"$38,500.00","$81,400.00",colorado college ,,,,,,,
"$40,500.00","$81,100.00",reed college,Yes,1966.0,1436.0,0.73,,,
"$44,500.00","$80,600.00",gustavus adolphus college,Yes,1709.0,1385.0,0.81,,,
"$43,500.00","$80,100.00",whitman college,Yes,1861.0,998.0,0.54,,,
"$42,100.00","$80,000.00",ursinus college,Yes,1399.0,1026.0,0.73,,,
"$41,800.00","$78,900.00",juniata college,Yes,1005.0,859.0,0.85,,,
"$39,200.00","$78,200.00",wittenberg university,Yes,1979.0,1739.0,0.88,,,
"$42,600.00","$76,600.00",grinnell college,Yes,2039.0,1389.0,0.68,,,
"$41,600.00","$74,600.00",skidmore college,Yes,4293.0,2728.0,0.64,,,
"$42,500.00","$74,400.00",moravian college,Yes,1232.0,955.0,0.78,,,
"$38,900.00","$72,600.00",lewis & clark college,,,,0.9516,,,
"$42,000.00","$69,800.00",fort lewis college,No,3440.0,2823.0,0.82,,,
"$41,500.00","$67,500.00",thomas aquinas college,,,,,,,
"$39,500.00","$63,900.00",evergreen state college,No,1801.0,1101.0,0.61,,,
"$58,000.00","$134,000.00",dartmouth college,Yes,8587.0,2273.0,0.26,"Hanover, NH",11.0,"$51,438 "
"$66,500.00","$131,000.00",princeton university,Yes,13218.0,2042.0,0.15,"Princeton, NJ",1.0,"$45,320 "
"$59,100.00","$126,000.00",yale university,Yes,10705.0,2453.0,0.23,"New Haven, CT",3.0,"$49,480 "
"$63,400.00","$124,000.00",harvard university,Yes,13865.0,2165.0,0.16,"Cambridge, MA",2.0,"$47,074 "
"$60,900.00","$120,000.00",university of pennsylvania,Yes,12394.0,5232.0,0.42,"Philadelphia, PA",8.0,"$51,464 "
